star.ID,date.collected,site,ind.number,arm.length,disc.diameter,collection.weight,water.treatment,air.treatment,Notes,group
SB_2023_ind46,06-Jun-23,Scott's Bay,46,55.8,27,26.3,15,30,,15C Group 1
SB_2023_ind44,06-Jun-23,Scott's Bay,44,56.8,28,25.3,20,20,,20C Group 1
SB_2023_ind62,06-Jun-23,Scott's Bay,62,58.2,25.5,24.5,20,30,,20C Group 1
SB_2023_ind41,06-Jun-23,Scott's Bay,41,51.3,26.5,23.9,15,25,,15C Group 1
SB_2023_ind69,06-Jun-23,Scott's Bay,69,46,25.4,21.8,15,20,,15C Group 1
SB_2023_ind63,06-Jun-23,Scott's Bay,63,52.8,25,20.8,15,25,,15C Group 1
SB_2023_ind10,06-Jun-23,Scott's Bay,10,50.5,24.5,20.5,15,25,,15C Group 2
SB_2023_ind64,06-Jun-23,Scott's Bay,64,46.4,30,19.2,20,25,,20C Group 1
SB_2023_ind5,06-Jun-23,Scott's Bay,5,47.9,28.2,18.4,15,20,,15C Group 2
SB_2023_ind14,06-Jun-23,Scott's Bay,14,47.3,23.4,17.8,15,25,,15C Group 1
SB_2023_ind71,06-Jun-23,Scott's Bay,71,40,22.7,16.6,15,25,,15C Group 2
SB_2023_ind19,06-Jun-23,Scott's Bay,19,42.3,14.7,13.6,15,30,,15C Group 2
SB_2023_ind35,06-Jun-23,Scott's Bay,35,40.4,21,13.6,20,20,,20C Group 1
SB_2023_ind47,06-Jun-23,Scott's Bay,47,40.7,21.4,12.7,20,25,,20C Group 2
SB_2023_ind48,06-Jun-23,Scott's Bay,48,49.1,22.8,12.7,20,20,,20C Group 1
SB_2023_ind58,07-Jun-23,Scott's Bay,58,41,21.5,12.2,20,30,Star #2 - Replaced because first star had a stubby arm,20C Group 1
SB_2023_ind49,06-Jun-23,Scott's Bay,49,35.8,21.8,10.5,20,25,,20C Group 1
SB_2023_ind25,06-Jun-23,Scott's Bay,25,36.5,20.5,10,20,25,,20C Group 1
SB_2023_ind53,06-Jun-23,Scott's Bay,53,45.5,22.6,10,20,30,,20C Group 2
SB_2023_ind16,06-Jun-23,Scott's Bay,16,38.8,23.8,9.9,15,20,,15C Group 2
SB_2023_ind36,06-Jun-23,Scott's Bay,36,33.5,23.2,9.5,15,30,,15C Group 2
SB_2023_ind24,06-Jun-23,Scott's Bay,24,33,19.6,9.2,20,25,,20C Group 2
SB_2023_ind28,07-Jun-23,Scott's Bay,28,32.5,20.8,9,20,30,Star #2 - Replaced because first star had a stubby arm,20C Group 1
SB_2023_ind33,06-Jun-23,Scott's Bay,33,31.4,22.7,9,15,25,,15C Group 1
SB_2023_ind6,06-Jun-23,Scott's Bay,6,32.3,17.3,8.8,20,25,,20C Group 1
SB_2023_ind17,06-Jun-23,Scott's Bay,17,34.5,22.9,8.7,15,20,,15C Group 2
SB_2023_ind37,06-Jun-23,Scott's Bay,37,33,19.5,8.6,15,20,,15C Group 1
SB_2023_ind42,06-Jun-23,Scott's Bay,42,41.8,19.7,8.5,20,30,,20C Group 2
SB_2023_ind27,06-Jun-23,Scott's Bay,27,35.7,18.2,8,15,25,,15C Group 2
