star.ID,water.treatment,air.treatment,trial.period,heat.date,heat.trial.day,high.tide.end.time,mussels.consumed.high,low.tide.start.time,heat.air.temp,heat.air.temp.check.time,low.tide.end.time,mussels.consumed.low,high.tide.start.time,heat.water.temp,heat.water.check.time,sea.table.heat,total.mussels.consumed,cum.mussels,survived,NOTES,trial.type,group
SB_2023_ind1,20,20,Adjustment,15-Jun-23,1,8:52,1,9:00,19.9,9:00,14:55,0,15:16,19.9,15:31,R-upper,1,1,Y,,Adjustment,20C Group 2
SB_2023_ind1,20,20,Heat stress (first half),16-Jun-23,2,8:49,0,9:30,19.8,9:14,15:12,0,15:30,20.5,15:49,L-lower,0,1,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (first half),17-Jun-23,3,8:57,0,9:35,19.9,9:26,14:57,0,15:28,19.4,14:57,R-upper,0,1,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (first half),18-Jun-23,4,8:55,0,9:25,19.8,9:15,14:53,0,15:20,20.2,14:54,L-lower,0,1,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (first half),19-Jun-23,5,9:00,0,9:30,19.7,9:22,15:00,0,15:17,19.8,,R-upper,0,1,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (first half),20-Jun-23,6,9:07,1,9:35,19.9,9:27,14:58,0,15:27,20.1,14:59,L-lower,1,2,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (first half),21-Jun-23,7,9:01,0,9:30,19.7,9:20,14:50,0,15:20,19.6,14:55,R-upper,0,2,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (first half),22-Jun-23,8,9:08,0,9:34,19.7,9:25,15:03,0,15:34,20.7,15:03,L-lower,0,2,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (second half),23-Jun-23,9,9:37,1,10:12,21.9,9:59,15:30,1,15:58,20.1,15:59,R-upper,2,4,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (second half),24-Jun-23,10,9:25,1,9:50,19.4,9:43,15:29,0,15:50,20,15:28,L-lower,1,5,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (second half),25-Jun-23,11,9:15,1,9:38,19.6,9:15,15:24,0,15:44,19.9,14:47,R-upper,1,6,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (second half),26-Jun-23,12,9:30,0,9:56,20.3,9:49,15:30,0,15:46,21,10:35,L-lower,0,6,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (second half),27-Jun-23,13,9:25,0,9:50,20.1,9:41,15:26,0,15:46,20.6,15:25,R-upper,0,6,Y,,Heat stress,20C Group 2
SB_2023_ind1,20,20,Heat stress (second half),28-Jun-23,14,9:40,0,10:03,20.4,9:57,15:40,0,15:55,20.6,15:34,L-lower,0,6,Y,,Heat stress,20C Group 2
