star.ID,experiment,water.treatment,air.treatment,food.treatment,time,status
SB_2023_ind1,June 2023,20,20,Fed,16,1
SB_2023_ind2,June 2023,20,20,Fed,16,1
SB_2023_ind3,June 2023,15,20,Fed,16,1
SB_2023_ind4,June 2023,20,30,Fed,16,1
SB_2023_ind5,June 2023,15,20,Fed,16,1
SB_2023_ind6,June 2023,20,25,Fed,16,1
SB_2023_ind7,June 2023,15,20,Fed,16,1
SB_2023_ind8,June 2023,15,30,Fed,16,1
SB_2023_ind9,June 2023,15,30,Fed,6,2
SB_2023_ind10,June 2023,15,25,Fed,16,1
SB_2023_ind11,June 2023,15,30,Fed,7,2
SB_2023_ind12,June 2023,20,30,Fed,16,1
SB_2023_ind13,June 2023,20,25,Fed,16,1
SB_2023_ind14,June 2023,15,25,Fed,16,1
SB_2023_ind15,June 2023,20,20,Fed,16,1
SB_2023_ind16,June 2023,15,20,Fed,16,1
SB_2023_ind17,June 2023,15,20,Fed,16,1
SB_2023_ind18,June 2023,15,30,Fed,3,2
SB_2023_ind19,June 2023,15,30,Fed,5,2
SB_2023_ind20,June 2023,20,20,Fed,16,1
SB_2023_ind21,June 2023,20,30,Fed,3,2
SB_2023_ind22,June 2023,20,20,Fed,16,1
SB_2023_ind23,June 2023,15,30,Fed,6,2
SB_2023_ind24,June 2023,20,25,Fed,16,1
SB_2023_ind25,June 2023,20,25,Fed,16,1
SB_2023_ind26,June 2023,20,30,Fed,16,1
SB_2023_ind27,June 2023,15,25,Fed,16,1
SB_2023_ind28,June 2023,20,30,Fed,16,1
SB_2023_ind29,June 2023,20,25,Fed,16,1
SB_2023_ind30,June 2023,20,25,Fed,16,1
SB_2023_ind31,June 2023,15,20,Fed,16,1
SB_2023_ind32,June 2023,20,20,Fed,16,1
SB_2023_ind33,June 2023,15,25,Fed,16,1
SB_2023_ind34,June 2023,15,20,Fed,16,1
SB_2023_ind35,June 2023,20,20,Fed,16,1
SB_2023_ind36,June 2023,15,30,Fed,16,1
SB_2023_ind37,June 2023,15,20,Fed,16,1
SB_2023_ind38,June 2023,20,30,Fed,16,1
SB_2023_ind39,June 2023,15,30,Fed,16,1
SB_2023_ind40,June 2023,20,20,Fed,16,1
SB_2023_ind41,June 2023,15,25,Fed,16,1
SB_2023_ind42,June 2023,20,30,Fed,16,1
SB_2023_ind43,June 2023,20,20,Fed,16,1
SB_2023_ind44,June 2023,20,20,Fed,16,1
SB_2023_ind45,June 2023,15,30,Fed,16,1
SB_2023_ind46,June 2023,15,30,Fed,16,1
SB_2023_ind47,June 2023,20,25,Fed,16,1
SB_2023_ind48,June 2023,20,20,Fed,16,1
SB_2023_ind49,June 2023,20,25,Fed,16,1
SB_2023_ind50,June 2023,20,30,Fed,16,1
SB_2023_ind51,June 2023,15,25,Fed,16,1
SB_2023_ind52,June 2023,15,25,Fed,16,1
SB_2023_ind53,June 2023,20,30,Fed,3,2
SB_2023_ind54,June 2023,15,25,Fed,16,1
SB_2023_ind55,June 2023,20,30,Fed,16,1
SB_2023_ind56,June 2023,15,20,Fed,16,1
SB_2023_ind57,June 2023,15,25,Fed,16,1
SB_2023_ind58,June 2023,20,30,Fed,6,2
