star.ID,ind.number,disc.diameter,collection.weight,water.treatment,air.treatment,group,time,old,status
SB_2023_ind1,1,15.4,4,20,20,20C Group 2,16,24,1
SB_2023_ind2,2,11.6,1.9,20,20,20C Group 2,16,24,1
SB_2023_ind3,3,16.7,6,15,20,15C Group 1,16,24,1
SB_2023_ind4,4,11.4,2.4,20,30,20C Group 2,16,24,1
SB_2023_ind5,5,28.2,18.4,15,20,15C Group 2,16,24,1
SB_2023_ind6,6,17.3,8.8,20,25,20C Group 1,16,24,1
SB_2023_ind7,7,14.2,3.8,15,20,15C Group 1,16,24,1
SB_2023_ind8,8,14.4,3.5,15,30,15C Group 2,16,24,1
SB_2023_ind9,9,18.3,5.8,15,30,15C Group 1,6,14,2
SB_2023_ind10,10,24.5,20.5,15,25,15C Group 2,16,24,1
SB_2023_ind11,11,13.4,2.5,15,30,15C Group 1,7,15,2
SB_2023_ind12,12,13.5,1.9,20,30,20C Group 1,16,24,1
SB_2023_ind13,13,14.7,2.9,20,25,20C Group 2,16,24,1
SB_2023_ind14,14,23.4,17.8,15,25,15C Group 1,16,24,1
SB_2023_ind15,15,18.2,6.3,20,20,20C Group 2,16,24,1
SB_2023_ind16,16,23.8,9.9,15,20,15C Group 2,16,24,1
SB_2023_ind17,17,22.9,8.7,15,20,15C Group 2,16,24,1
SB_2023_ind18,18,14.3,2.4,15,30,15C Group 2,3,11,2
SB_2023_ind19,19,14.7,13.6,15,30,15C Group 2,5,13,2
SB_2023_ind20,20,16.7,5.2,20,20,20C Group 2,16,24,1
SB_2023_ind21,21,13.2,3.7,20,30,20C Group 1,3,11,2
SB_2023_ind22,22,20.1,7.9,20,20,20C Group 2,16,24,1
SB_2023_ind23,23,14.6,3.4,15,30,15C Group 1,6,14,2
SB_2023_ind24,24,19.6,9.2,20,25,20C Group 2,16,24,1
SB_2023_ind25,25,20.5,10,20,25,20C Group 1,16,24,1
SB_2023_ind26,26,12.5,2.4,20,30,20C Group 2,16,24,1
SB_2023_ind27,27,18.2,8,15,25,15C Group 2,16,24,1
SB_2023_ind28,28,20.8,9,20,30,20C Group 1,16,24,1
SB_2023_ind29,29,16.3,3.9,20,25,20C Group 2,16,24,1
SB_2023_ind30,30,18.4,6.3,20,25,20C Group 1,16,24,1
SB_2023_ind31,31,14.5,2.7,15,20,15C Group 1,16,24,1
SB_2023_ind32,32,19.5,5.7,20,20,20C Group 2,16,24,1
SB_2023_ind33,33,22.7,9,15,25,15C Group 1,16,24,1
SB_2023_ind34,34,14.4,2.8,15,20,15C Group 2,16,24,1
SB_2023_ind35,35,21,13.6,20,20,20C Group 1,16,24,1
SB_2023_ind36,36,23.2,9.5,15,30,15C Group 2,16,24,1
SB_2023_ind37,37,19.5,8.6,15,20,15C Group 1,16,24,1
SB_2023_ind38,38,19,7,20,30,20C Group 2,16,24,1
SB_2023_ind39,39,17.4,6.9,15,30,15C Group 1,16,24,1
SB_2023_ind40,40,16.7,5.3,20,20,20C Group 1,16,24,1
SB_2023_ind41,41,26.5,23.9,15,25,15C Group 1,16,24,1
SB_2023_ind42,42,19.7,8.5,20,30,20C Group 2,16,24,1
SB_2023_ind43,43,16,5.3,20,20,20C Group 1,16,24,1
SB_2023_ind44,44,28,25.3,20,20,20C Group 1,16,24,1
SB_2023_ind45,45,16.7,3.8,15,30,15C Group 2,16,24,1
SB_2023_ind46,46,27,26.3,15,30,15C Group 1,16,24,1
SB_2023_ind47,47,21.4,12.7,20,25,20C Group 2,16,24,1
SB_2023_ind48,48,22.8,12.7,20,20,20C Group 1,16,24,1
SB_2023_ind49,49,21.8,10.5,20,25,20C Group 1,16,24,1
SB_2023_ind50,50,11.4,2,20,30,20C Group 2,16,24,1
SB_2023_ind51,51,15.7,4.7,15,25,15C Group 2,16,24,1
SB_2023_ind52,52,13.8,2.2,15,25,15C Group 1,16,24,1
SB_2023_ind53,53,22.6,10,20,30,20C Group 2,3,11,2
SB_2023_ind54,54,15,3.4,15,25,15C Group 1,16,24,1
SB_2023_ind55,55,11.3,1.4,20,30,20C Group 1,16,24,1
SB_2023_ind56,56,13.2,3.4,15,20,15C Group 1,16,24,1
SB_2023_ind57,57,14.2,3.9,15,25,15C Group 2,16,24,1
SB_2023_ind58,58,21.5,12.2,20,30,20C Group 1,6,14,2
SB_2023_ind59,59,14.9,4,15,25,15C Group 2,16,24,1
SB_2023_ind60,60,16.8,5.7,15,30,15C Group 2,16,24,1
SB_2023_ind61,61,10,1.7,20,25,20C Group 2,16,24,1
SB_2023_ind62,62,25.5,24.5,20,30,20C Group 1,16,24,1
SB_2023_ind63,63,25,20.8,15,25,15C Group 1,16,24,1
SB_2023_ind64,64,30,19.2,20,25,20C Group 1,16,24,1
SB_2023_ind65,65,19.1,6.2,20,25,20C Group 1,16,24,1
SB_2023_ind66,66,16.1,6.4,15,30,15C Group 1,16,24,1
SB_2023_ind67,67,15.2,4.4,15,20,15C Group 2,16,24,1
SB_2023_ind68,68,14.7,2.7,20,20,20C Group 1,16,24,1
SB_2023_ind69,69,25.4,21.8,15,20,15C Group 1,16,24,1
SB_2023_ind70,70,11.5,2,20,25,20C Group 2,16,24,1
SB_2023_ind71,71,22.7,16.6,15,25,15C Group 2,16,24,1
SB_2023_ind72,72,9.9,1.5,15,20,15C Group 2,16,24,1
