water.treatment,air.treatment,star.ID,ind.number,date,trial.day,trial.period,trial.block,measurement.type,disc.temp,arm.1,arm.2,arm.3,arm.4,arm.5,aquaria.temp,ave.star.temp,water.temp,air.temp,notes
15,25,EB_2024_ind1,1,07-Jun-24,26,Heat stress,Second half heat stress,submerged,15.1,15.3,14.9,14.9,15.4,15.3,16,15.15,15.3,NA,
15,25,EB_2024_ind2,2,07-Jun-24,26,Heat stress,Second half heat stress,submerged,16,16,16.2,16.2,15.9,16,16.8,16.05,14.6,NA,
15,25,EB_2024_ind3,3,07-Jun-24,26,Heat stress,Second half heat stress,submerged,16.2,15.8,15.7,16,16.4,16.7,16.6,16.13,15.3,NA,
15,25,EB_2024_ind4,4,07-Jun-24,26,Heat stress,Second half heat stress,submerged,15.2,15.3,15.2,15.1,15.1,15.2,15.5,15.18,14.6,NA,
15,25,EB_2024_ind5,5,07-Jun-24,26,Heat stress,Second half heat stress,submerged,16.7,16.8,16.6,16.4,16.6,16.7,17.4,16.63,15.3,NA,
15,25,EB_2024_ind6,6,07-Jun-24,26,Heat stress,Second half heat stress,submerged,16.1,16.3,16.3,16.5,16.4,16.5,17,16.35,14.6,NA,
15,25,EB_2024_ind7,7,07-Jun-24,26,Heat stress,Second half heat stress,submerged,15.9,16.1,16.1,15.9,16,16.2,16.3,16.03,15.3,NA,
15,25,EB_2024_ind8,8,07-Jun-24,26,Heat stress,Second half heat stress,submerged,14.8,15.3,15,14.9,14.8,15.2,15.5,15.00,14.6,NA,
15,25,EB_2024_ind9,9,07-Jun-24,26,Heat stress,Second half heat stress,submerged,13.8,14.1,14.1,13.8,14,14,14.7,13.97,15.3,NA,
15,25,EB_2024_ind10,10,07-Jun-24,26,Heat stress,Second half heat stress,submerged,15.4,15.2,15.6,15.1,15.3,15.4,15.8,15.33,14.6,NA,actively eating
15,25,EB_2024_ind11,11,07-Jun-24,26,Heat stress,Second half heat stress,submerged,15.2,15.1,15.4,15.5,15.5,15,16.8,15.28,15.3,NA,
15,25,EB_2024_ind12,12,07-Jun-24,26,Heat stress,Second half heat stress,submerged,15.9,15.7,16,16,16.3,16.1,15.9,16.00,14.6,NA,
15,25,EB_2024_ind13,13,07-Jun-24,26,Heat stress,Second half heat stress,submerged,15.6,15.9,15.9,15.7,15.4,16,16.4,15.75,15.3,NA,
