star.ID,date.collected,site,ind.number,disc.diameter,collection.weight,water.treatment,air.treatment,MR.measured.overall,lactic.acid.sampled.overall,notes
EB_2024_ind1,10-May-24,Eagle Bay,1,22.2,14.49,15,25,Y,Y,
EB_2024_ind2,10-May-24,Eagle Bay,2,19.6,8.81,15,25,N,N,
EB_2024_ind3,10-May-24,Eagle Bay,3,15.7,5.39,15,25,N,Y,
EB_2024_ind4,10-May-24,Eagle Bay,4,20.1,11.5,15,25,Y,Y,
EB_2024_ind5,10-May-24,Eagle Bay,5,24.2,12.14,15,25,N,N,
EB_2024_ind6,10-May-24,Eagle Bay,6,17.8,7.43,15,25,Y,Y,
EB_2024_ind7,10-May-24,Eagle Bay,7,17.5,6.11,15,25,Y,Y,
EB_2024_ind8,10-May-24,Eagle Bay,8,19.3,7.73,15,25,N,Y,
EB_2024_ind9,10-May-24,Eagle Bay,9,16.6,8.25,15,25,N,N,
EB_2024_ind10,10-May-24,Eagle Bay,10,20.4,11.8,15,25,N,Y,
EB_2024_ind11,10-May-24,Eagle Bay,11,19.3,9.52,15,25,Y,Y,
EB_2024_ind12,10-May-24,Eagle Bay,12,20.6,9.3,15,25,Y,Y,
EB_2024_ind13,10-May-24,Eagle Bay,13,20.2,10.3,15,25,N,Y,
EB_2024_ind14,10-May-24,Eagle Bay,14,17.7,7.38,15,25,Y,Y,
EB_2024_ind15,10-May-24,Eagle Bay,15,20.9,11,15,25,N,N,
EB_2024_ind16,10-May-24,Eagle Bay,16,19.3,9.55,15,25,Y,Y,
EB_2024_ind17,10-May-24,Eagle Bay,17,19.5,11.72,15,25,Y,Y,
EB_2024_ind18,10-May-24,Eagle Bay,18,17.6,6.31,15,25,N,N,
EB_2024_ind19,10-May-24,Eagle Bay,19,21.2,10.66,15,30,N,Y,
EB_2024_ind20,10-May-24,Eagle Bay,20,17.1,8.45,15,30,N,N,
EB_2024_ind21,10-May-24,Eagle Bay,21,17.8,5.83,15,30,N,N,
EB_2024_ind22,10-May-24,Eagle Bay,22,20,12.27,15,30,Y,Y,
EB_2024_ind23,10-May-24,Eagle Bay,23,15.5,5.59,15,30,Y,Y,
EB_2024_ind24,10-May-24,Eagle Bay,24,25,15.32,15,30,N,N,
EB_2024_ind25,10-May-24,Eagle Bay,25,16.6,7,15,30,Y,Y,
EB_2024_ind26,10-May-24,Eagle Bay,26,21.4,12.85,15,30,Y,Y,
EB_2024_ind27,10-May-24,Eagle Bay,27,14,5.07,15,30,N,Y,
EB_2024_ind28,10-May-24,Eagle Bay,28,19.2,8.49,15,30,Y,Y,
EB_2024_ind29,10-May-24,Eagle Bay,29,18.6,8.44,15,30,Y,Y,
EB_2024_ind30,10-May-24,Eagle Bay,30,16.7,5.54,15,30,Y,Y,
EB_2024_ind31,10-May-24,Eagle Bay,31,18,8.49,15,30,N,N,
EB_2024_ind32,10-May-24,Eagle Bay,32,23.8,14.65,15,30,Y,Y,
EB_2024_ind33,10-May-24,Eagle Bay,33,20,15.7,15,30,N,Y,
EB_2024_ind34,10-May-24,Eagle Bay,34,20.3,9.8,15,30,N,Y,
EB_2024_ind35,10-May-24,Eagle Bay,35,18.3,9,15,30,Y,Y,
EB_2024_ind36,10-May-24,Eagle Bay,36,16.8,6.63,15,30,N,N,
EB_2024_ind37,10-May-24,Eagle Bay,37,20.8,9.38,20,25,Y,Y,
EB_2024_ind38,10-May-24,Eagle Bay,38,19.9,10.08,20,25,N,N,
EB_2024_ind39,10-May-24,Eagle Bay,39,15.8,6.48,20,25,Y,Y,
EB_2024_ind40,10-May-24,Eagle Bay,40,17.8,9.7,20,25,Y,Y,
EB_2024_ind41,10-May-24,Eagle Bay,41,20.1,12.56,20,25,Y,Y,
EB_2024_ind42,10-May-24,Eagle Bay,42,20.8,10.6,20,25,N,Y,
EB_2024_ind43,10-May-24,Eagle Bay,43,25.3,15.59,20,25,Y,Y,
EB_2024_ind44,10-May-24,Eagle Bay,44,19.2,6.66,20,25,N,Y,
EB_2024_ind45,10-May-24,Eagle Bay,45,18.4,8.39,20,25,N,N,
EB_2024_ind46,10-May-24,Eagle Bay,46,19.7,8.83,20,25,Y,Y,
EB_2024_ind47,10-May-24,Eagle Bay,47,18,6.44,20,25,Y,Y,
EB_2024_ind48,10-May-24,Eagle Bay,48,16,5.08,20,25,N,Y,
EB_2024_ind49,10-May-24,Eagle Bay,49,17.4,6.24,20,25,N,N,
EB_2024_ind50,10-May-24,Eagle Bay,50,22,15.49,20,25,N,Y,
EB_2024_ind51,10-May-24,Eagle Bay,51,22.7,13.68,20,25,Y,Y,
EB_2024_ind52,10-May-24,Eagle Bay,52,17.7,7.29,20,25,Y,Y,
EB_2024_ind53,10-May-24,Eagle Bay,53,15.8,6.07,20,25,N,N,
EB_2024_ind54,10-May-24,Eagle Bay,54,19.4,8.5,20,25,N,N,
EB_2024_ind55,10-May-24,Eagle Bay,55,23.3,14.32,20,30,Y,Y,
EB_2024_ind56,10-May-24,Eagle Bay,56,19.4,12.23,20,30,Y,Y,
EB_2024_ind57,10-May-24,Eagle Bay,57,17.8,7.37,20,30,N,N,
EB_2024_ind58,10-May-24,Eagle Bay,58,18.8,7.21,20,30,Y,Y,
EB_2024_ind59,10-May-24,Eagle Bay,59,18.2,8.67,20,30,Y,Y,
EB_2024_ind60,10-May-24,Eagle Bay,60,22,12.67,20,30,Y,Y,
EB_2024_ind61,10-May-24,Eagle Bay,61,23.7,15.99,20,30,N,Y,
EB_2024_ind62,10-May-24,Eagle Bay,62,20.5,7.76,20,30,N,N,
EB_2024_ind63,10-May-24,Eagle Bay,63,17.7,6.52,20,30,N,Y,
EB_2024_ind64,10-May-24,Eagle Bay,64,18.5,10.73,20,30,N,Y,
EB_2024_ind65,10-May-24,Eagle Bay,65,18.7,9.65,20,30,N,N,
EB_2024_ind66,10-May-24,Eagle Bay,66,19.6,10.41,20,30,N,N,
EB_2024_ind67,10-May-24,Eagle Bay,67,18.7,6.39,20,30,Y,Y,
EB_2024_ind68,10-May-24,Eagle Bay,68,20.5,10.12,20,30,Y,Y,
EB_2024_ind69,10-May-24,Eagle Bay,69,19.8,6.92,20,30,N,N,
EB_2024_ind70,10-May-24,Eagle Bay,70,17.3,5.27,20,30,Y,Y,
EB_2024_ind71,10-May-24,Eagle Bay,71,19,9.36,20,30,Y,Y,
EB_2024_ind72,10-May-24,Eagle Bay,72,19.1,7.93,20,30,Y,Y,
