star.ID,water.treatment,air.treatment,date,trial.period,trial.day,total.mussels.consumed,cumulative.mussels,thermal.stress,MR.measured,lactic.acid.sampled,ST.end.day,notes
EB_2024_ind1,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind2,15,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST1,
EB_2024_ind3,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind4,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind5,15,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST4,
EB_2024_ind6,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind7,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind8,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind9,15,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST4,
EB_2024_ind10,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind11,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind12,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind13,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind14,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind15,15,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST4,
EB_2024_ind16,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind17,15,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind18,15,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST1,
EB_2024_ind19,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind20,15,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST1,
EB_2024_ind21,15,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST4,
EB_2024_ind22,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind23,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind24,15,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST1,
EB_2024_ind25,15,30,23-May-24,Heat stress,11,NA,NA,1,N,Y,ST4,
EB_2024_ind26,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind27,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind28,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind29,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind30,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind31,15,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST4,
EB_2024_ind32,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind33,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST4,
EB_2024_ind34,15,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST1,
EB_2024_ind35,15,30,23-May-24,Heat stress,11,NA,NA,1,N,Y,ST4,
EB_2024_ind36,15,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST1,
EB_2024_ind37,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind38,20,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST3,
EB_2024_ind39,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind40,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind41,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind42,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind43,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind44,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind45,20,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST2,
EB_2024_ind46,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind47,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind48,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind49,20,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST2,
EB_2024_ind50,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind51,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind52,20,25,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind53,20,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST2,
EB_2024_ind54,20,25,23-May-24,Heat stress,11,NA,NA,0,N,N,ST3,
EB_2024_ind55,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind56,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind57,20,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST2,
EB_2024_ind58,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind59,20,30,23-May-24,Heat stress,11,NA,NA,1,N,Y,ST2,
EB_2024_ind60,20,30,23-May-24,Heat stress,11,NA,NA,1,N,Y,ST3,
EB_2024_ind61,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind62,20,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST3,
EB_2024_ind63,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST2,
EB_2024_ind64,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind65,20,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST2,
EB_2024_ind66,20,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST3,
EB_2024_ind67,20,30,23-May-24,Heat stress,11,NA,NA,1,N,Y,ST2,
EB_2024_ind68,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind69,20,30,23-May-24,Heat stress,11,NA,NA,0,N,N,ST2,
EB_2024_ind70,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind71,20,30,23-May-24,Heat stress,11,NA,NA,1,N,Y,ST2,
EB_2024_ind72,20,30,23-May-24,Heat stress,11,NA,NA,0,N,Y,ST3,
EB_2024_ind1,15,25,24-May-24,Heat stress,12,0,2,0,N,N,ST1,
EB_2024_ind2,15,25,24-May-24,Heat stress,12,1,3,0,N,N,ST4,
EB_2024_ind3,15,25,24-May-24,Heat stress,12,0,3,0,N,N,ST1,
EB_2024_ind4,15,25,24-May-24,Heat stress,12,0,2,0,N,N,ST4,
EB_2024_ind5,15,25,24-May-24,Heat stress,12,1,1,0,N,N,ST1,
EB_2024_ind6,15,25,24-May-24,Heat stress,12,0,4,0,N,N,ST4,
EB_2024_ind7,15,25,24-May-24,Heat stress,12,1,4,0,N,N,ST1,
EB_2024_ind8,15,25,24-May-24,Heat stress,12,1,7,0,N,N,ST4,
EB_2024_ind9,15,25,24-May-24,Heat stress,12,1,2,0,N,N,ST1,
EB_2024_ind10,15,25,24-May-24,Heat stress,12,0,4,0,N,N,ST4,
EB_2024_ind11,15,25,24-May-24,Heat stress,12,0,0,0,N,N,ST1,
