water.treatment,air.treatment,star.ID,ind.number,round.Aq,round.Air,date,measurement.number,vol.chamber-mL,vol.animal-mL,vol.water-mL,vol.water-L,wet.weight-g,wet.weight-kg,AFDM-g,AFDM-kg
15,25,EB_2024_ind1,1,R1.Aq,R1.Air,08-Jun-24,M3,240,12,228,0.228,13.63,0.01363,,
15,25,EB_2024_ind4,4,R1.Aq,R1.Air,08-Jun-24,M3,240,15,225,0.225,13.19,0.01319,,
15,25,EB_2024_ind6,6,R1.Aq,R1.Air,08-Jun-24,M3,240,8,232,0.232,8.24,0.00824,,
15,25,EB_2024_ind7,7,R1.Aq,R1.Air,08-Jun-24,M3,240,2,238,0.238,7.74,0.00774,,
15,25,EB_2024_ind11,11,R1.Aq,R1.Air,08-Jun-24,M3,240,9,231,0.231,10,0.01,,
15,25,EB_2024_ind12,12,R2.Aq,R3.Air,08-Jun-24,M3,240,10,230,0.23,9.98,0.00998,,
15,25,EB_2024_ind14,14,R2.Aq,R3.Air,08-Jun-24,M3,240,7,233,0.233,9,0.009,,
15,25,EB_2024_ind16,16,R2.Aq,R3.Air,08-Jun-24,M3,240,12,228,0.228,12.15,0.01215,,
15,25,EB_2024_ind17,17,R2.Aq,R3.Air,08-Jun-24,M3,240,12,228,0.228,13.79,0.01379,,
15,30,EB_2024_ind22,22,R1.Aq,R2.Air,08-Jun-24,M3,240,16,224,0.224,14.87,0.01487,,
15,30,EB_2024_ind23,23,R1.Aq,R2.Air,08-Jun-24,M3,240,4,236,0.236,5.62,0.00562,,
15,30,EB_2024_ind25,25,R1.Aq,R2.Air,08-Jun-24,M3,240,9,231,0.231,9,0.009,,
15,30,EB_2024_ind26,26,R1.Aq,R2.Air,08-Jun-24,M3,240,18,222,0.222,16,0.016,,
15,30,EB_2024_ind28,28,R2.Aq,R2.Air,08-Jun-24,M3,240,10,230,0.23,9.93,0.00993,,
15,30,EB_2024_ind29,29,R2.Aq,R4.Air,08-Jun-24,M3,240,12,228,0.228,10.46,0.01046,,
15,30,EB_2024_ind30,30,R2.Aq,R4.Air,08-Jun-24,M3,240,6,234,0.234,6.36,0.00636,,
15,30,EB_2024_ind32,32,R2.Aq,R4.Air,08-Jun-24,M3,240,21,219,0.219,19,0.019,,
15,30,EB_2024_ind35,35,R2.Aq,R4.Air,08-Jun-24,M3,240,13,227,0.227,11.15,0.01115,,
20,25,EB_2024_ind37,37,R3.Aq,R1.Air,08-Jun-24,M3,240,10,230,0.23,11.18,0.01118,,
20,25,EB_2024_ind39,39,R3.Aq,R1.Air,08-Jun-24,M3,240,7,233,0.233,7.28,0.00728,,
20,25,EB_2024_ind40,40,R3.Aq,R1.Air,08-Jun-24,M3,240,11,229,0.229,12.55,0.01255,,
20,25,EB_2024_ind41,41,R3.Aq,R1.Air,08-Jun-24,M3,240,16,224,0.224,15.6,0.0156,,
20,25,EB_2024_ind43,43,R3.Aq,R3.Air,08-Jun-24,M3,240,17,223,0.223,18.3,0.0183,,
20,25,EB_2024_ind46,46,R4.Aq,R3.Air,08-Jun-24,M3,240,14,226,0.226,11.54,0.01154,,
20,25,EB_2024_ind47,47,R4.Aq,R3.Air,08-Jun-24,M3,240,6,234,0.234,7.14,0.00714,,
20,25,EB_2024_ind51,51,R4.Aq,R3.Air,08-Jun-24,M3,240,19,221,0.221,17.33,0.01733,,
20,25,EB_2024_ind52,52,R4.Aq,R3.Air,08-Jun-24,M3,240,9,231,0.231,8.86,0.00886,,
20,30,EB_2024_ind55,55,R3.Aq,R2.Air,08-Jun-24,M3,240,20,220,0.22,17.25,0.01725,,
20,30,EB_2024_ind56,56,R3.Aq,R2.Air,08-Jun-24,M3,240,13,227,0.227,14.55,0.01455,,
20,30,EB_2024_ind58,58,R3.Aq,R2.Air,08-Jun-24,M3,240,7,233,0.233,8.34,0.00834,,
20,30,EB_2024_ind59,59,R3.Aq,R2.Air,08-Jun-24,M3,240,12,228,0.228,11.63,0.01163,,
20,30,EB_2024_ind60,60,R4.Aq,R4.Air,08-Jun-24,M3,240,14,226,0.226,15.61,0.01561,,
20,30,EB_2024_ind67,67,R4.Aq,R4.Air,08-Jun-24,M3,240,8,232,0.232,7.78,0.00778,,
20,30,EB_2024_ind68,68,R4.Aq,R4.Air,08-Jun-24,M3,240,12,228,0.228,13.06,0.01306,,
20,30,EB_2024_ind70,70,R4.Aq,R4.Air,08-Jun-24,M3,240,5,235,0.235,5.77,0.00577,,
20,30,EB_2024_ind71,71,R4.Aq,R4.Air,08-Jun-24,M3,240,11,229,0.229,10.22,0.01022,,
