water.treatment,air.treatment,star.ID,ind.number,round.Aq,date,measurement.number,vol.chamber-mL,vol.animal-mL,vol.water-mL,vol.water-L,wet.weight-g,wet.weight-kg,AFDM-g,AFDM-kg
15,25,EB_2024_ind1,1,R1,18-Jun-24,M4,240,15,225,0.225,14.69,0.01469,,
15,25,EB_2024_ind4,4,R1,18-Jun-24,M4,240,15,225,0.225,14.15,0.01415,,
15,25,EB_2024_ind6,6,R1,18-Jun-24,M4,240,8,232,0.232,8.93,0.00893,,
15,25,EB_2024_ind7,7,R2,18-Jun-24,M4,240,6,234,0.234,9,0.009,,
15,25,EB_2024_ind11,11,R2,18-Jun-24,M4,240,9,231,0.231,10.73,0.01073,,
15,25,EB_2024_ind12,12,R3,18-Jun-24,M4,240,7,233,0.233,10.1,0.0101,,
15,25,EB_2024_ind14,14,R3,18-Jun-24,M4,240,10,230,0.23,9.71,0.00971,,
15,25,EB_2024_ind16,16,R4,18-Jun-24,M4,240,11,229,0.229,13.84,0.01384,,
15,25,EB_2024_ind17,17,R4,18-Jun-24,M4,240,13,227,0.227,14.39,0.01439,,
,,,,,,,,,,,,,,
15,30,EB_2024_ind22,22,R1,18-Jun-24,M4,240,10,230,0.23,12.64,0.01264,,
15,30,EB_2024_ind23,23,R1,18-Jun-24,M4,240,5,235,0.235,5.33,0.00533,,
15,30,EB_2024_ind25,25,R2,18-Jun-24,M4,240,8,232,0.232,8,0.008,,
15,30,EB_2024_ind26,26,R2,18-Jun-24,M4,240,12,228,0.228,13.86,0.01386,,
15,30,EB_2024_ind28,28,R2,18-Jun-24,M4,240,7,233,0.233,8.75,0.00875,,
15,30,EB_2024_ind29,29,R3,18-Jun-24,M4,240,7,233,0.233,9,0.009,,
15,30,EB_2024_ind30,30,R3,18-Jun-24,M4,240,6,234,0.234,6.28,0.00628,,
15,30,EB_2024_ind32,32,R4,18-Jun-24,M4,240,16,224,0.224,15.89,0.01589,,
15,30,EB_2024_ind35,35,R4,18-Jun-24,M4,240,9,231,0.231,9,0.009,,
,,,,,,,,,,,,,,
20,25,EB_2024_ind37,37,R1,18-Jun-24,M4,240,11,229,0.229,12.58,0.01258,,
20,25,EB_2024_ind39,39,R1,18-Jun-24,M4,240,7,233,0.233,8,0.008,,
20,25,EB_2024_ind40,40,R2,18-Jun-24,M4,240,11,229,0.229,12.56,0.01256,,
20,25,EB_2024_ind41,41,R2,18-Jun-24,M4,240,15,225,0.225,17.08,0.01708,,
20,25,EB_2024_ind43,43,R3,18-Jun-24,M4,240,20,220,0.22,19.07,0.01907,,
20,25,EB_2024_ind46,46,R3,18-Jun-24,M4,240,10,230,0.23,12.13,0.01213,,
20,25,EB_2024_ind47,47,R3,18-Jun-24,M4,240,6,234,0.234,8.18,0.00818,,
20,25,EB_2024_ind51,51,R4,18-Jun-24,M4,240,14,226,0.226,17.64,0.01764,,
20,25,EB_2024_ind52,52,R4,18-Jun-24,M4,240,9,231,0.231,9.94,0.00994,,
,,,,,,,,,,,,,,
20,30,EB_2024_ind55,55,R1,18-Jun-24,M4,240,13,227,0.227,15.76,0.01576,,
20,30,EB_2024_ind56,56,R1,18-Jun-24,M4,240,10,230,0.23,13.31,0.01331,,
20,30,EB_2024_ind58,58,R2,18-Jun-24,M4,240,5,235,0.235,7.37,0.00737,,
20,30,EB_2024_ind59,59,R2,18-Jun-24,M4,240,15,225,0.225,10.17,0.01017,,
20,30,EB_2024_ind60,60,R3,18-Jun-24,M4,240,15,225,0.225,15.01,0.01501,,
20,30,EB_2024_ind67,67,R3,18-Jun-24,M4,240,8,232,0.232,7.5,0.0075,,
20,30,EB_2024_ind68,68,R4,18-Jun-24,M4,240,10,230,0.23,11.72,0.01172,,
20,30,EB_2024_ind70,70,R4,18-Jun-24,M4,240,4,236,0.236,5.7,0.0057,,
20,30,EB_2024_ind71,71,R4,18-Jun-24,M4,240,9,231,0.231,10.62,0.01062,,
